iter	Logloss
0	0.5999925903
1	0.534435493
2	0.494503509
3	0.4686068179
4	0.4507374411
5	0.4328661748
6	0.4113693135
7	0.3975445631
8	0.3836966472
9	0.3753702361
10	0.3697108478
11	0.3624013333
12	0.3583003541
13	0.3506674272
14	0.3480143284
15	0.3451342576
16	0.3397661622
17	0.3376947868
18	0.3342943974
19	0.3316376841
20	0.3289550535
21	0.3270463494
22	0.3246729403
23	0.3194847466
24	0.314718747
25	0.3125276424
26	0.3108500382
27	0.3079841172
28	0.3062438965
29	0.3046809282
30	0.3026972035
31	0.3015048411
32	0.3001982123
33	0.2988207112
34	0.2978692857
35	0.2963802908
36	0.2947759205
37	0.2928836869
38	0.2911703076
39	0.2896564222
40	0.2878855401
41	0.2865876805
42	0.2846858973
43	0.2831405907
44	0.2811512183
45	0.279666495
46	0.2783329426
47	0.2781577438
48	0.2769507181
49	0.2749000642
50	0.2736595636
51	0.2721116283
52	0.269921838
53	0.2680283106
54	0.2658018418
55	0.2646474107
56	0.2643434055
57	0.2602190554
58	0.256759623
59	0.2541549909
60	0.2537819617
61	0.2517228261
62	0.2499735487
63	0.2480238739
64	0.2459622739
65	0.2454008203
66	0.2427352556
67	0.2400922403
68	0.2399102644
69	0.2383211323
70	0.2369807822
71	0.2359099972
72	0.2342402585
73	0.2340379923
74	0.2319968879
75	0.2306081533
76	0.230452834
77	0.2291708082
78	0.2275096128
79	0.224772909
80	0.2244957453
81	0.2230829416
82	0.2220676674
83	0.2202630229
84	0.218712541
85	0.2185831391
86	0.2174656741
87	0.215832881
88	0.2138595684
89	0.2133139486
90	0.2124356954
91	0.2123187593
92	0.2109933188
93	0.2108654982
94	0.2103140665
95	0.2101095618
96	0.2100199806
97	0.2082375158
98	0.2070272659
99	0.2056573018
