iter	Passed	Remaining
0	15	1508
1	29	1457
2	44	1447
3	59	1427
4	73	1391
5	87	1367
6	101	1347
7	115	1324
8	128	1300
9	141	1277
10	155	1256
11	168	1238
12	183	1226
13	196	1207
14	209	1187
15	223	1171
16	236	1154
17	249	1138
18	263	1122
19	276	1106
20	290	1091
21	303	1076
22	317	1061
23	331	1048
24	344	1032
25	357	1017
26	370	1002
27	397	1021
28	430	1053
29	448	1046
30	470	1048
31	486	1033
32	500	1016
33	515	999
34	529	982
35	543	966
36	557	948
37	572	934
38	586	918
39	600	901
40	614	884
41	628	867
42	642	851
43	655	834
44	669	818
45	683	802
46	696	785
47	710	769
48	724	753
49	737	737
50	751	721
51	764	706
52	779	690
53	792	674
54	805	659
55	818	643
56	834	629
57	849	615
58	864	600
59	879	586
60	893	571
61	906	555
62	920	540
63	934	525
64	948	510
65	963	496
66	977	481
67	991	466
68	1004	451
69	1018	436
70	1032	421
71	1045	406
72	1058	391
73	1072	376
74	1085	361
75	1099	347
76	1113	332
77	1126	317
78	1140	303
79	1153	288
80	1167	273
81	1180	259
82	1195	244
83	1210	230
84	1224	216
85	1239	201
86	1253	187
87	1268	172
88	1282	158
89	1297	144
90	1312	129
91	1327	115
92	1342	101
93	1356	86
94	1371	72
95	1386	57
96	1400	43
97	1414	28
98	1429	14
99	1444	0
